race_year,number_of_mechanical_failures,number_of_races,average_mechanical_failure_per_race,number_of_drivers,average_drivers_per_race
1950,59,7,8.428571428571429,81,11.571428571428571
1951,70,8,8.75,84,10.5
1952,66,8,8.25,105,13.125
1953,92,9,10.222222222222221,108,12.0
1954,86,9,9.555555555555555,97,10.777777777777779
1955,63,7,9.0,84,12.0
1956,71,8,8.875,85,10.625
1957,58,8,7.25,76,9.5
1958,78,11,7.090909090909091,87,7.909090909090909
1959,61,9,6.777777777777778,88,9.777777777777779
1960,75,10,7.5,91,9.1
1961,59,8,7.375,62,7.75
1962,52,9,5.777777777777778,61,6.777777777777778
1963,80,10,8.0,62,6.2
1964,78,10,7.8,41,4.1
1965,73,10,7.3,54,5.4
1966,68,9,7.555555555555555,33,3.6666666666666665
1967,92,11,8.363636363636363,45,4.090909090909091
1968,101,12,8.416666666666666,43,3.5833333333333335
1969,72,11,6.545454545454546,31,2.8181818181818183
1970,112,13,8.615384615384615,43,3.3076923076923075
1971,80,11,7.2727272727272725,50,4.545454545454546
1972,92,12,7.666666666666667,42,3.5
1973,108,15,7.2,43,2.8666666666666667
1974,124,15,8.266666666666667,62,4.133333333333334
1975,86,14,6.142857142857143,52,3.7142857142857144
1976,108,16,6.75,54,3.375
1977,117,17,6.882352941176471,61,3.588235294117647
1978,110,16,6.875,46,2.875
1979,128,15,8.533333333333333,36,2.4
1980,101,14,7.214285714285714,41,2.9285714285714284
1981,100,15,6.666666666666667,39,2.6
1982,120,16,7.5,40,2.5
1983,144,15,9.6,35,2.3333333333333335
1984,168,16,10.5,35,2.1875
1985,158,16,9.875,36,2.25
1986,178,16,11.125,32,2.0
1987,177,16,11.0625,32,2.0
1988,155,16,9.6875,36,2.25
1989,150,16,9.375,47,2.9375
1990,143,16,8.9375,40,2.5
1991,148,16,9.25,41,2.5625
1992,133,16,8.3125,37,2.3125
1993,111,16,6.9375,35,2.1875
1994,120,16,7.5,46,2.875
1995,117,17,6.882352941176471,35,2.0588235294117645
1996,88,16,5.5,24,1.5
1997,94,17,5.529411764705882,28,1.6470588235294117
1998,90,16,5.625,23,1.4375
1999,108,16,6.75,24,1.5
2000,92,17,5.411764705882353,23,1.3529411764705883
2001,109,17,6.411764705882353,26,1.5294117647058822
2002,109,17,6.411764705882353,23,1.3529411764705883
2003,78,16,4.875,24,1.5
2004,55,18,3.0555555555555554,25,1.3888888888888888
2005,39,19,2.0526315789473686,27,1.4210526315789473
2006,72,18,4.0,27,1.5
2007,51,17,3.0,26,1.5294117647058822
2008,34,18,1.8888888888888888,22,1.2222222222222223
2009,28,17,1.6470588235294117,25,1.4705882352941178
2010,68,19,3.5789473684210527,27,1.4210526315789473
2011,39,19,2.0526315789473686,28,1.4736842105263157
2012,31,20,1.55,25,1.25
2013,29,19,1.5263157894736843,23,1.2105263157894737
2014,50,19,2.6315789473684212,24,1.263157894736842
2015,40,19,2.1052631578947367,22,1.1578947368421053
2016,41,21,1.9523809523809523,24,1.1428571428571428
2017,59,20,2.95,25,1.25
2018,45,21,2.142857142857143,20,0.9523809523809523
2019,28,21,1.3333333333333333,20,0.9523809523809523
2020,28,17,1.6470588235294117,23,1.3529411764705883
2021,21,22,0.9545454545454546,21,0.9545454545454546
2022,33,22,1.5,22,1.0
